Customer_ID,Age,Annual_Income_INR,Employment_Years,Employment_Type,Education,Marital_Status,Home_Ownership,Loan_Amount,Loan_Term_Months,Existing_Debt,Debt_To_Income_Ratio,Credit_History_Years,Missed_Payments,Credit_Utilization_Percent,Number_of_Credit_Cards,Number_of_Active_Loans,Savings_Balance,Checking_Balance,Creditworthy_Target
36,24,705940,0,Salaried,Master,Married,Mortgage,2033688,48,398158,344.48,3,1,50.6,1,3,76081,633996,0
37,63,2302070,36,Business,High School,Single,Own,2737206,72,794489,153.41,6,0,72.9,1,4,114385,912342,1
38,61,1452784,32,Salaried,Bachelor,Married,Own,1119860,72,1087617,151.95,6,1,54.6,7,5,2083222,959872,1
39,34,2488012,0,Salaried,High School,Married,Mortgage,1884882,36,1024033,116.92,29,1,15.4,0,2,791621,183277,1
40,51,679104,25,Salaried,Bachelor,Married,Rent,108098,72,254842,53.44,12,1,32.4,1,2,2460867,221933,1
41,29,995431,1,Self-Employed,Master,Married,Mortgage,2660895,72,1407212,408.68,26,4,31.5,5,1,2538551,575076,0
42,58,558639,25,Salaried,Bachelor,Married,Rent,224526,72,427125,116.65,16,1,29.9,4,0,1354822,886767,1
43,55,1104240,30,Unemployed,Bachelor,Married,Rent,1646314,84,1229959,260.48,15,1,2.8,2,5,899578,5609,1
44,38,1486893,6,Self-Employed,Master,Single,Rent,1087804,72,467733,104.62,28,1,82.8,0,5,520228,225198,1
45,24,2054859,0,Business,Bachelor,Divorced,Own,155573,48,95113,12.2,20,1,27.5,2,5,769810,156438,1
46,68,1033976,35,Salaried,Bachelor,Married,Mortgage,1413210,36,1494652,281.23,7,1,28.9,0,0,1845854,789570,1
47,42,1969952,15,Self-Employed,High School,Single,Rent,2810001,84,883176,187.48,8,2,6.2,4,2,2267997,499334,1
48,64,1632689,35,Business,Bachelor,Married,Own,542269,48,321858,52.93,19,3,62.3,3,3,2214770,714495,1
49,54,857004,30,Unemployed,Bachelor,Married,Own,912202,84,486,106.5,0,1,43.2,7,5,2876066,40961,1
50,59,2296316,30,Self-Employed,Bachelor,Divorced,Rent,608518,84,193811,34.94,4,2,38.0,6,2,1964450,132227,1
51,58,1187448,34,Business,High School,Single,Own,418667,12,254829,56.72,2,0,39.0,3,0,1523990,542782,1
52,30,530304,1,Salaried,High School,Married,Own,729123,12,1388537,399.33,21,1,56.8,4,5,1067377,419896,0
53,38,2413461,7,Salaried,High School,Married,Own,1736910,48,265506,82.97,13,2,35.4,5,0,1009041,184334,1
54,43,2299166,17,Salaried,Master,Single,Mortgage,2352514,12,242896,112.88,0,1,5.2,2,4,1104988,260859,1
55,45,294936,19,Salaried,PhD,Married,Rent,2086408,60,1256706,1133.5,22,0,19.2,4,2,2638942,726539,0
56,23,2273776,0,Business,Bachelor,Married,Own,2325299,12,1318919,160.27,19,2,18.1,0,0,1647292,13738,1
57,47,2377916,17,Salaried,Master,Married,Own,2161023,72,313475,104.06,21,2,50.5,7,3,662974,868291,1
58,28,2103483,0,Salaried,High School,Divorced,Mortgage,1179670,36,975684,102.47,4,1,63.6,7,2,580181,159468,0
59,57,771592,30,Salaried,Master,Divorced,Rent,2705722,60,801668,454.57,26,0,74.3,7,2,85192,758545,0
60,54,1644583,34,Self-Employed,High School,Married,Own,558474,48,865292,86.57,5,2,12.3,1,1,2538529,629721,1
61,66,1428718,45,Salaried,High School,Single,Mortgage,2114337,60,466988,180.67,17,1,57.4,6,4,658984,63390,1
62,57,1618740,37,Business,High School,Married,Own,377179,60,1127008,92.92,16,1,32.7,4,1,306957,764448,1
63,38,1610149,6,Business,Bachelor,Single,Own,2308484,36,1321471,225.44,6,0,100.0,7,0,868683,496346,0
64,68,1662973,36,Salaried,Bachelor,Married,Own,307031,72,1088998,83.95,11,2,72.7,0,2,1459649,301048,1
65,41,1372481,20,Salaried,High School,Divorced,Mortgage,687737,72,1354738,148.82,1,1,79.0,3,1,2878674,111176,1
66,36,1781949,16,Salaried,High School,Single,Mortgage,1204273,36,165789,76.89,14,2,61.0,0,3,2578317,115409,1
67,65,1401727,34,Salaried,Bachelor,Single,Rent,2098682,12,985582,220.03,20,2,52.6,7,3,512939,409057,0
68,39,218238,12,Salaried,Master,Married,Rent,184350,48,1499199,771.43,9,1,36.9,1,4,1588253,294555,0
69,24,261854,0,Salaried,High School,Single,Own,809197,60,803513,615.88,16,0,33.0,0,5,2472640,839547,0
70,44,2402774,15,Salaried,High School,Single,Own,1034223,72,1412834,101.84,28,0,29.0,0,0,2282848,542896,1
71,59,2289461,36,Salaried,Bachelor,Single,Own,2206512,24,522565,119.2,7,0,57.4,7,0,1409155,41160,1
72,30,1538600,8,Business,Bachelor,Married,Mortgage,2886523,48,1344887,275.02,8,1,76.2,4,2,718732,876952,0
73,43,585047,18,Self-Employed,Bachelor,Married,Rent,1861793,72,1408201,558.93,3,1,37.9,0,0,2355658,251652,0
74,27,1993000,0,Self-Employed,Bachelor,Single,Rent,1547138,48,933433,124.46,16,0,30.6,3,5,1336537,606503,1
75,54,512433,23,Self-Employed,Bachelor,Divorced,Mortgage,1042025,72,1056884,409.6,6,1,15.3,3,4,711180,826570,0
76,44,1055293,22,Business,Bachelor,Married,Own,2476801,60,784186,309.01,25,1,49.9,6,2,2139180,667907,1
77,37,945274,9,Self-Employed,Master,Married,Own,366372,24,475437,89.05,8,1,69.6,1,5,2647780,405927,1
78,32,208761,0,Salaried,Master,Single,Rent,431334,24,804417,591.95,19,1,70.6,0,3,2664990,7462,0
79,48,2052263,14,Salaried,Bachelor,Married,Mortgage,643488,72,1443651,101.7,5,1,72.6,5,3,2812253,235355,1
80,53,1362584,22,Salaried,High School,Single,Own,840832,60,22405,63.35,9,0,53.3,3,4,1929136,569448,1
81,67,913706,45,Salaried,PhD,Divorced,Own,1411708,72,307628,188.17,5,1,46.8,0,3,2303656,949410,1
82,42,1356681,19,Business,High School,Single,Own,2842312,36,749204,264.73,16,2,70.6,3,4,728299,35874,0
83,28,180002,5,Salaried,PhD,Married,Mortgage,1968662,12,509122,1376.53,0,2,22.8,3,1,971806,155730,0
84,61,1193815,39,Self-Employed,Bachelor,Divorced,Own,1181478,24,935654,177.34,2,0,36.2,1,3,438878,358213,1
85,51,1385427,29,Unemployed,Bachelor,Single,Rent,673983,48,540828,87.68,15,1,79.2,1,4,243392,788607,1
86,55,968143,31,Salaried,Bachelor,Single,Mortgage,1962798,12,988059,304.8,16,0,23.5,0,5,2524619,950020,1
87,25,2106483,0,Salaried,Bachelor,Single,Rent,796750,24,159486,45.39,9,0,44.3,6,1,1371656,178077,1
88,36,759596,11,Salaried,High School,Single,Own,2929573,24,498209,451.26,12,1,57.6,0,0,1662107,580486,0
89,58,499753,32,Business,High School,Married,Own,1459292,12,1039216,499.95,12,1,46.7,4,3,262019,963052,0
90,61,1403904,38,Self-Employed,High School,Single,Own,1674823,36,706923,169.65,22,2,68.0,0,0,551616,998535,0
91,42,2238481,20,Business,High School,Single,Mortgage,2715318,72,1070515,169.13,13,0,75.5,6,4,228700,786071,1
92,60,1050645,26,Salaried,Bachelor,Married,Mortgage,950770,36,954465,181.34,25,1,54.6,3,2,1457030,778646,1
93,62,288170,34,Self-Employed,Master,Single,Own,1441822,36,492746,671.33,6,1,72.8,7,4,1742483,276428,0
94,39,2430241,16,Salaried,High School,Married,Rent,1619247,48,642458,93.07,5,1,26.4,0,0,378967,309493,1
95,65,1210770,33,Salaried,Bachelor,Single,Own,849669,60,1447039,189.69,12,3,41.8,2,0,2125189,983614,1
96,35,581191,3,Business,High School,Single,Rent,211179,36,1443202,284.65,2,2,93.1,3,1,315514,622756,0
97,32,1608226,0,Business,Bachelor,Single,Rent,887051,12,53371,58.48,20,2,83.9,0,0,2516294,114459,1
98,54,921624,32,Self-Employed,Bachelor,Single,Mortgage,381491,36,1058163,156.21,11,1,19.5,3,0,2759930,69116,1
99,52,2355676,23,Salaried,Bachelor,Single,Rent,2043256,12,736466,118.0,10,1,44.7,3,4,1920440,859596,1
100,27,861988,0,Salaried,High School,Single,Own,71154,24,1910,8.48,16,1,47.7,3,4,1633881,129733,1
101,61,1456314,29,Salaried,High School,Single,Rent,983657,60,951171,132.86,2,2,53.3,4,3,2195450,699429,1
102,30,1440477,7,Salaried,High School,Married,Mortgage,2658419,24,34919,186.98,11,1,70.5,1,2,746737,321733,0
103,60,742463,27,Self-Employed,PhD,Married,Rent,1727419,36,478221,297.07,29,1,81.8,1,1,2763598,173884,1
104,21,1338330,0,Salaried,High School,Married,Mortgage,2030277,36,1035450,229.07,18,0,45.7,3,5,2643800,114189,1
105,60,433046,33,Salaried,Bachelor,Divorced,Rent,2022118,84,1218996,748.45,17,3,67.4,5,5,2086637,546371,0
106,59,1673477,31,Salaried,High School,Married,Rent,930072,24,618967,92.56,15,1,58.0,3,1,2996652,803748,1
107,59,1939297,28,Salaried,Bachelor,Single,Rent,1915342,12,1213141,161.32,14,3,44.6,3,5,908532,11924,1
108,53,2384004,32,Salaried,Bachelor,Married,Mortgage,702426,48,1259206,82.28,28,0,11.0,7,3,2652606,703836,1
109,44,935810,16,Salaried,High School,Married,Rent,1924726,60,671315,277.41,27,2,65.4,5,2,101958,573127,0
110,55,841712,23,Salaried,Bachelor,Married,Rent,2065075,48,259523,276.17,12,4,57.1,0,1,2242773,794302,0
111,34,1453237,6,Salaried,High School,Single,Mortgage,2634617,60,988794,249.33,27,1,52.8,2,3,868389,582203,0
112,59,1787230,35,Salaried,High School,Married,Own,2762619,84,20740,155.74,2,1,25.4,0,0,2886200,126020,1
113,48,2482517,28,Salaried,Bachelor,Single,Own,120745,60,1339824,58.83,9,1,84.2,7,1,1701653,408526,1
114,43,238093,15,Salaried,Master,Single,Own,932460,48,582123,636.13,9,0,48.0,6,4,592161,987049,0
115,45,732868,15,Salaried,High School,Married,Rent,1663988,60,1140039,382.61,20,0,22.2,3,2,944615,824415,0
116,48,788741,20,Unemployed,High School,Divorced,Mortgage,998599,24,1104096,266.59,18,1,19.0,2,0,2633080,351414,1
117,22,772486,0,Salaried,High School,Married,Rent,1874805,24,709297,334.52,14,0,58.5,5,0,2413582,930747,0
118,27,1255829,0,Business,Master,Divorced,Rent,2570010,36,1457591,320.71,7,0,59.1,1,4,1076218,7364,0
119,33,2205151,6,Business,High School,Single,Own,811199,72,1194469,90.95,15,1,35.7,6,5,787559,533761,1
120,26,251907,6,Unemployed,Master,Married,Mortgage,2685458,72,1325480,1592.23,8,1,54.3,6,4,96713,773930,0
121,42,2072752,14,Business,High School,Single,Own,2651951,48,140854,134.74,14,0,58.4,1,0,370312,673953,1
122,53,1612993,31,Business,High School,Married,Own,2746407,60,726111,215.28,10,0,47.8,4,4,97133,178924,1
123,53,1607263,23,Salaried,Bachelor,Married,Mortgage,266930,72,1427947,105.45,26,1,31.0,1,1,989922,145855,1
124,44,1753680,22,Salaried,Bachelor,Single,Mortgage,914804,24,1219225,121.69,22,0,64.2,4,3,563503,743542,1
125,62,447747,29,Self-Employed,Bachelor,Single,Own,416118,12,681162,245.07,5,0,61.8,5,3,60606,998098,0
126,48,1912417,24,Salaried,Bachelor,Divorced,Rent,404922,72,105495,26.69,28,1,56.4,0,5,2338466,764153,1
127,24,755665,0,Self-Employed,PhD,Single,Mortgage,206774,12,423327,83.38,19,0,28.3,7,4,2637622,857916,1
128,58,1378452,36,Salaried,Bachelor,Single,Own,1347992,24,858408,160.06,10,3,18.4,2,0,2690015,910402,1
129,49,1750357,26,Salaried,Master,Divorced,Mortgage,307309,36,962775,72.56,15,4,46.5,3,0,2510517,949027,1
130,52,1581151,19,Self-Employed,Master,Single,Own,922506,72,1386447,146.03,5,2,63.6,2,5,383886,789967,0
131,48,929649,24,Self-Employed,Bachelor,Married,Rent,2945022,36,139296,331.77,1,0,65.8,7,1,493190,778064,0
132,48,1098871,21,Salaried,Master,Single,Own,2657406,12,594577,295.94,12,1,56.7,6,0,2536147,789717,1
133,25,1285506,0,Salaried,Bachelor,Single,Own,2814412,12,408133,250.68,23,2,36.0,7,1,45246,322914,0
134,48,275707,19,Business,Bachelor,Single,Own,158073,24,1440150,579.68,10,0,28.9,3,2,2266417,540445,0
135,59,1864418,39,Business,Bachelor,Single,Own,1999686,12,249156,120.62,11,3,44.7,4,5,378060,221681,1
136,35,411888,10,Salaried,Bachelor,Married,Mortgage,1919947,36,331027,546.5,29,0,44.9,4,5,156672,530869,0
137,50,1243914,25,Self-Employed,Bachelor,Married,Rent,441654,12,446727,71.42,29,0,67.1,1,3,2341245,511047,1
138,22,1699590,0,Salaried,High School,Married,Own,2723235,72,158450,169.55,13,0,35.4,7,1,2194168,68474,1
139,38,366508,15,Salaried,PhD,Married,Rent,1242913,12,965201,602.47,1,1,37.1,6,4,255485,82599,0
140,42,2489688,15,Salaried,High School,Single,Own,2931177,24,787143,149.35,20,0,86.1,7,5,115137,950757,1
141,69,1055159,44,Salaried,High School,Married,Rent,386230,12,836486,115.88,21,1,76.0,3,2,2650006,551818,1
142,31,216663,7,Salaried,High School,Single,Rent,1967885,36,1360870,1536.37,27,0,27.3,1,3,787749,32761,0
143,34,1708030,8,Salaried,Bachelor,Single,Rent,435670,72,649659,63.54,28,1,74.4,1,2,2907314,369920,1
144,41,1473593,16,Self-Employed,High School,Divorced,Rent,2852272,60,466918,225.24,18,2,22.6,4,5,1592728,891290,1
145,69,1665570,45,Salaried,Master,Divorced,Rent,1842415,84,563122,144.43,3,2,36.3,6,3,2936327,727933,1
146,62,1922340,36,Salaried,Bachelor,Single,Mortgage,273195,60,1200240,76.65,7,2,38.6,5,0,2727776,823571,1
147,22,1283470,0,Salaried,Master,Single,Rent,683726,36,792635,115.03,21,1,43.4,5,5,1847405,625692,1
148,32,2098117,5,Unemployed,High School,Married,Own,1109871,84,253795,64.99,18,1,57.4,6,3,316055,700387,1
149,61,1038747,33,Self-Employed,Bachelor,Married,Own,87936,24,1034707,108.08,13,2,47.1,6,2,2691527,246520,1
150,23,1444875,0,Business,Bachelor,Married,Own,75708,12,1118355,82.64,12,0,57.3,7,1,1044916,841896,1
151,62,547756,33,Salaried,High School,Married,Mortgage,2780165,36,374888,576.0,21,1,37.0,2,4,756085,733441,0
152,34,1618205,11,Salaried,Bachelor,Single,Mortgage,2944492,84,835540,233.59,12,0,52.5,5,0,1730750,239375,1
153,65,786904,40,Salaried,Master,Married,Mortgage,1631824,72,845498,314.82,4,0,46.6,2,1,1071753,311112,0
154,35,1796401,8,Business,Bachelor,Single,Rent,2713043,48,262525,165.64,29,1,17.2,5,4,2220615,767106,1
155,42,2038446,15,Self-Employed,Master,Married,Mortgage,1982915,84,13685,97.95,10,2,54.7,0,1,794998,248592,1
156,53,2172801,31,Business,Bachelor,Married,Rent,132755,60,1077130,55.68,8,1,46.9,0,4,2746165,669069,1
157,27,2335470,6,Self-Employed,High School,Divorced,Rent,2157758,24,923131,131.92,2,0,30.7,1,1,298775,418553,1
158,48,463711,23,Salaried,Master,Single,Rent,103491,12,1070634,253.2,14,1,36.5,4,4,1406550,287103,0
159,45,500140,12,Salaried,PhD,Married,Mortgage,2458696,12,566013,604.77,29,2,37.0,7,4,2881409,157853,0
160,59,2328742,29,Salaried,Bachelor,Single,Mortgage,1132560,72,773152,81.83,4,2,40.1,4,4,2522698,721614,1
161,69,1063520,37,Salaried,High School,Married,Rent,466709,36,1472499,182.34,7,2,80.2,4,4,2460937,325160,1
162,53,240360,31,Self-Employed,High School,Single,Mortgage,812687,36,338201,478.82,5,1,86.8,5,4,1851065,556192,0
163,41,845816,15,Salaried,Master,Single,Mortgage,2065889,36,979212,360.02,2,0,1.0,7,2,1708064,259848,0
164,40,2119983,12,Self-Employed,High School,Single,Own,2548450,12,198440,129.57,18,0,54.8,4,2,612161,147344,1
165,41,1003576,15,Salaried,High School,Married,Rent,1733635,12,98535,182.56,8,3,64.1,5,0,893503,21729,0
166,60,358037,34,Salaried,Bachelor,Single,Rent,523428,72,1435882,547.24,22,1,40.7,3,2,1738762,939440,0
167,36,1855293,11,Salaried,Master,Married,Rent,2705455,60,194730,156.32,12,1,63.6,7,2,919880,300876,1
168,29,631537,9,Salaried,Bachelor,Single,Rent,2382415,24,983718,533.01,19,0,78.1,3,4,941452,576128,0
169,37,998500,5,Salaried,Bachelor,Married,Rent,1259117,12,771308,203.35,2,2,17.6,7,5,2037067,466833,0
170,22,189034,0,Salaried,Bachelor,Divorced,Own,1685656,48,1213862,1533.86,9,4,47.7,7,3,2110927,369897,0
171,26,1576633,5,Business,Master,Single,Mortgage,2893595,12,819908,235.53,12,0,84.1,7,0,1488251,829738,0
172,25,1212995,0,Salaried,High School,Married,Rent,1163305,36,1045455,182.09,1,0,20.2,2,1,853622,910855,0
173,58,2191554,31,Self-Employed,High School,Single,Rent,126034,72,1341201,66.95,12,1,42.7,2,3,528902,180476,1
174,56,955713,25,Self-Employed,High School,Married,Own,479873,24,1244210,180.4,14,2,36.0,6,2,788532,31021,0
175,55,654684,21,Salaried,High School,Single,Own,1820935,72,1082786,443.53,12,2,66.0,7,5,989289,327389,0
176,43,565103,17,Self-Employed,High School,Single,Rent,2993189,84,243736,572.8,15,2,68.8,4,1,2836089,103066,0
177,56,644368,25,Self-Employed,Bachelor,Married,Own,2232710,24,254118,385.93,23,0,48.2,6,3,967759,29373,0
178,28,1226529,0,Business,High School,Single,Own,1873059,60,745425,213.49,23,2,45.6,3,4,2726098,805019,1
179,65,382226,33,Salaried,Master,Single,Own,1002855,72,988283,520.93,0,1,10.6,6,2,1615323,75108,0
180,45,1113500,21,Salaried,High School,Single,Own,1346177,48,1000687,210.76,19,0,73.5,3,1,1355235,70382,1
181,66,2162861,34,Salaried,PhD,Married,Own,163200,36,1180013,62.1,27,1,37.9,4,0,803199,356114,1
182,28,1960973,2,Salaried,High School,Divorced,Rent,1144826,84,155084,66.29,26,1,42.2,4,3,2296402,567952,1
183,45,1658442,25,Salaried,High School,Married,Rent,1889233,36,260164,129.6,9,2,64.4,6,3,2527597,499928,1
184,55,2252062,24,Salaried,Master,Married,Rent,2721898,24,224935,130.85,23,2,49.0,6,4,2946187,745737,1
185,45,1990099,13,Self-Employed,Master,Divorced,Mortgage,2771149,12,811579,180.03,24,1,65.1,6,5,2461136,748261,1
186,42,1693956,17,Business,High School,Married,Rent,2472515,84,950973,202.1,10,0,57.1,0,5,265875,16584,0
187,29,2182316,3,Salaried,Master,Married,Mortgage,113419,24,173302,13.14,26,1,49.1,1,1,2638016,763180,1
188,39,468632,14,Salaried,Master,Married,Own,2442998,12,1303058,799.36,18,3,51.2,7,2,1818495,42717,0
189,32,2078359,11,Salaried,Bachelor,Divorced,Own,694922,12,455168,55.34,22,0,22.5,1,1,1539388,913978,1
190,35,865306,1,Unemployed,Bachelor,Single,Own,1867785,36,990624,330.34,22,1,42.0,6,5,760492,305902,0
191,54,1880705,34,Salaried,Bachelor,Married,Mortgage,2841845,60,1127438,211.05,23,4,66.7,5,0,1519519,907796,1
192,51,2298898,23,Salaried,High School,Married,Mortgage,2669471,60,54307,118.48,28,0,27.0,2,3,2400045,999228,1
193,50,1330778,30,Salaried,High School,Single,Rent,2010012,72,1297225,248.52,25,2,30.7,0,1,1767535,101499,1
194,38,385864,8,Salaried,High School,Married,Mortgage,932871,60,1455649,619.01,12,0,27.4,0,0,304232,380959,0
195,68,1038930,35,Self-Employed,Bachelor,Married,Own,1586606,12,1437953,291.12,16,1,48.1,7,3,2266847,112052,1
196,25,1123905,0,Salaried,High School,Married,Rent,2125933,72,209260,207.77,19,1,73.1,0,2,2366431,968472,0
197,37,2353225,8,Salaried,High School,Married,Own,1566923,24,588986,91.62,25,1,55.9,5,4,2016841,496791,1
198,26,2366610,0,Salaried,High School,Single,Rent,1243120,84,348843,67.27,11,2,1.5,1,2,601827,837532,1
199,37,1498841,3,Self-Employed,Bachelor,Divorced,Own,1238385,36,676205,127.74,9,5,58.0,3,1,885770,589473,0
200,68,2385542,36,Salaried,Bachelor,Single,Rent,1819996,12,1462450,137.6,22,1,36.2,0,0,1368058,847740,1
201,38,1192194,15,Salaried,Master,Single,Rent,155563,36,1144684,109.06,28,2,55.2,5,1,2607795,597890,1
202,65,1133991,37,Business,PhD,Married,Rent,2994551,48,1156549,366.06,27,1,42.0,0,2,2441462,48480,0
203,45,2120695,13,Business,PhD,Married,Own,351092,72,632896,46.4,4,1,27.8,5,1,286363,486276,1
204,55,1728360,31,Salaried,High School,Married,Rent,2954348,48,1404865,252.22,27,2,43.6,7,0,202390,654820,1
205,43,1391914,13,Salaried,Bachelor,Married,Own,154358,12,1380081,110.24,23,2,36.2,5,1,148946,981199,1
206,34,1239649,14,Self-Employed,Bachelor,Married,Own,1562226,12,1209929,223.62,4,1,51.2,5,5,2784509,832849,1
207,58,1817006,25,Self-Employed,High School,Married,Rent,1281867,60,1221711,137.79,0,1,27.3,7,5,2591525,508955,1
208,68,1928028,39,Salaried,High School,Married,Own,1742897,12,977601,141.1,6,0,22.5,6,2,652045,805900,1
209,33,1318168,2,Salaried,Master,Single,Rent,1329031,48,143004,111.67,27,2,59.6,5,3,2748541,935310,1
210,59,253268,27,Self-Employed,Bachelor,Divorced,Own,2697099,84,426829,1233.45,22,1,67.2,4,1,1502184,875931,0
211,33,416261,10,Salaried,Bachelor,Married,Rent,99162,72,1153188,300.86,17,2,56.6,3,2,939810,988191,0
212,56,514444,30,Salaried,Bachelor,Married,Rent,2957625,60,490322,670.23,18,0,32.0,4,3,2203707,359314,0
213,59,1252044,27,Salaried,Master,Single,Own,2083835,36,258592,187.09,12,1,30.2,0,0,207004,444021,0
214,43,1604941,21,Business,Master,Divorced,Own,2346893,48,1420906,234.76,27,1,31.4,7,5,370491,14330,1
215,57,2044740,25,Salaried,Master,Single,Rent,462427,12,732514,58.44,4,0,62.8,7,5,768213,133764,1
216,34,719521,10,Salaried,High School,Single,Mortgage,242294,72,1290938,213.09,9,0,28.5,2,5,1826236,816561,0
217,24,2004907,0,Self-Employed,Bachelor,Single,Own,1221220,12,426249,82.17,6,0,62.7,6,1,2515385,325918,1
218,25,1725241,0,Salaried,High School,Divorced,Own,1001787,12,539235,89.32,25,1,57.7,5,5,1546702,438884,1
219,42,299844,12,Salaried,PhD,Divorced,Mortgage,2359724,60,514945,958.72,16,2,69.8,6,0,1318639,358539,0
220,65,994837,33,Salaried,High School,Married,Own,2694858,60,559901,327.17,20,1,66.3,7,5,1757502,926683,0
221,27,882171,2,Salaried,Bachelor,Married,Own,1311014,48,656378,223.02,27,0,55.9,5,0,35101,888327,1
222,43,2237017,21,Business,Master,Married,Own,2316639,48,446541,123.52,5,0,15.6,7,2,1987485,739419,1
223,55,2317176,29,Salaried,Bachelor,Single,Mortgage,225701,60,1221311,62.45,28,0,57.2,2,5,2414960,961697,1
224,30,2080681,1,Unemployed,High School,Married,Rent,2239587,48,489195,131.15,3,0,47.3,3,3,1261884,546703,1
225,56,1404974,25,Unemployed,High School,Single,Own,343043,12,662275,71.55,22,1,37.5,1,1,1943334,169654,1
226,35,1323383,4,Business,Bachelor,Married,Rent,2020373,48,1291001,250.22,21,0,72.2,6,2,896307,634678,0
227,60,902647,35,Salaried,Bachelor,Single,Own,1177339,12,655731,203.08,24,1,42.0,2,1,2809384,20073,1
